name_ru	name_eng	date	vote
Их собственная лига (1992)	A League of Their Own	10.03.2019, 00:35	8
День патриота (2016)	Patriots Day	23.02.2019, 22:24	8
Девочка (2018)	Girl	12.02.2019, 00:20	7
Бархатная бензопила (2019)	Velvet Buzzsaw	09.02.2019, 00:40	7
В.Р. Мистерии организма (1971)	W.R. - Misterije organizma	29.01.2019, 23:54	7
Звезда родилась (2018)	A Star Is Born	29.01.2019, 23:12	6
Любовный случай, или Трагедия служащей почтово-телеграфного узла (1966)	Ljubavni slucaj ili tragedija sluzbenice P.T.T.	27.01.2019, 00:59	8
Человек не птица (1965)	Čovek nije tica	26.01.2019, 23:35	8
Безумный Макс: Дорога ярости (2015)	Mad Max: Fury Road	26.01.2019, 00:07	10
Персона (1966)	Persona	21.01.2019, 08:16	8
Стекло (2019)	Glass	18.01.2019, 22:49	7
Профессор Марстон и его Чудо-женщины (2017)	Professor Marston and the Wonder Women	17.01.2019, 23:45	7
Они никогда не станут старше (2018)	They Shall Not Grow Old	15.01.2019, 06:54	7
Все песни только о любви (2007)	Les chansons d'amour	12.01.2019, 23:56	7
Люсия и секс (2001)	Lucía y el sexo	12.01.2019, 19:12	8
Ба-бах! (2010)	Kaboom	12.01.2019, 15:23	3
Команда «А» (2010)	The A-Team	08.01.2019, 00:20	8
Ничего хорошего в отеле «Эль Рояль» (2018)	Bad Times at the El Royale	06.01.2019, 19:39	8
Тихое место (2018)	A Quiet Place	05.01.2019, 23:00	8
Праздник (2019)	 	04.01.2019, 22:09	6
Хищник (2018)	The Predator	03.01.2019, 21:42	5
Детки (1995)	Kids	03.01.2019, 17:42	4
Конченая (2018)	Terminal	02.01.2019, 23:53	7
Ты водишь! (2018)	Tag	02.01.2019, 23:52	6
Вечеринка только начинается (2018)	The Party's Just Beginning	02.01.2019, 23:52	6
Кислота (2018)	 	31.12.2018, 01:00	6
Ёлки 2 (2011)	 	31.12.2018, 00:59	5
Черный клановец (2018)	BlacKkKlansman	31.12.2018, 00:30	7
Охотник за головами (2010)	The Bounty Hunter	25.12.2018, 23:59	6
Художники и модели (1955)	Artists and Models	23.12.2018, 01:26	6
Кристофер Робин (2018)	Christopher Robin	15.12.2018, 00:33	8
Убийца 2. Против всех (2018)	Sicario 2: Soldado	21.10.2018, 22:34	5
Хэллоуин (2018)	Halloween	19.10.2018, 12:23	8
Человек на Луне (2018)	First Man	12.10.2018, 18:57	7
Веном (2018)	Venom	05.10.2018, 12:20	7
Мир Юрского периода 2 (2018)	Jurassic World: Fallen Kingdom	23.09.2018, 18:36	7
Апгрейд (2018)	Upgrade	02.09.2018, 18:16	6
Zомбоящик (2017)	 	28.07.2018, 22:29	3
Tomb Raider: Лара Крофт (2018)	Tomb Raider	25.07.2018, 23:25	6
Первому игроку приготовиться (2018)	Ready Player One	23.07.2018, 23:24	7
8 подруг Оушена (2018)	Ocean's Eight	23.07.2018, 23:04	7
Марадона (2008)	Maradona by Kusturica	23.07.2018, 22:59	7
Игра Джералда (2017)	Gerald's Game	02.07.2018, 10:19	7
